board,placements_count
"Aero Trails — Calido",7
"Aero Trails — Hub City",9
"Aero Trails — Pavilion",10
"Aero Trails — Solace 1",8
"Aero Trails — Solace 2",5
"Aero Trails — Solace 3",6
"Calido Purple — Astro IV",7
"Calido Purple — Bubblejett Bonanza 2023",8
"Calido Purple — Bubblejett Bonanza OG Custom 2023",4
"Calido Purple — Bubblejett Sprinter 2022",9
"Calido Purple — Bubblejett Sprinter OG Custom 2022",3
"Calido Purple — Bubblejett Super Phantom",7
"Calido Purple — GTi Javelin 2022",7
"Calido Purple — Kazekura Shinobi-X",2
"Calido Purple — Rando's Metalworks Sunset Speeder",7
"Calido Purple — Valkyrie F9-R",8
"Calido Purple — Valley Raceworx T1-A",9
"Calido Purple — Valley Raceworx T1-B",5
"Calido Purple — Valley Raceworx T1-C",5
"Calido Purple — Valley Raceworx T3 2023",6
"Calido Red — Astro IV",6
"Calido Red — Bubblejett Bonanza 2023",7
"Calido Red — Bubblejett Bonanza OG Custom 2023",4
"Calido Red — Bubblejett Sprinter 2022",8
"Calido Red — Bubblejett Sprinter OG Custom 2022",2
"Calido Red — Bubblejett Super Phantom",6
"Calido Red — GTi Javelin 2022",6
"Calido Red — Kazekura Shinobi-X",3
"Calido Red — Rando's Metalworks Sunset Speeder",5
"Calido Red — Valkyrie F9-R",5
"Calido Red — Valley Raceworx T1-A",6
"Calido Red — Valley Raceworx T1-B",6
"Calido Red — Valley Raceworx T1-C",6
"Calido Red — Valley Raceworx T3 2023",6
"Calido Yellow — Astro IV",10
"Calido Yellow — Bubblejett Bonanza 2023",10
"Calido Yellow — Bubblejett Bonanza OG Custom 2023",4
"Calido Yellow — Bubblejett Sprinter 2022",9
"Calido Yellow — Bubblejett Sprinter OG Custom 2022",4
"Calido Yellow — Bubblejett Super Phantom",9
"Calido Yellow — GTi Javelin 2022",10
"Calido Yellow — Kazekura Shinobi-X",2
"Calido Yellow — Rando's Metalworks Sunset Speeder",10
"Calido Yellow — Valkyrie F9-R",9
"Calido Yellow — Valley Raceworx T1-A",9
"Calido Yellow — Valley Raceworx T1-B",6
"Calido Yellow — Valley Raceworx T1-C",6
"Calido Yellow — Valley Raceworx T3 2023",9
"Holocache",3
