player,board,rank,points,raw_time
"LindaKnights#9411","Holocache",1,10,1554.660278
"Ford96#9395","Aero Trails — Calido",1,10,146.992
"LindaKnights#9411","Aero Trails — Calido",2,9,167.429
"LindaKnights#9411","Aero Trails — Solace 3",1,10,255.304
"Crystaline#3100","Aero Trails — Solace 3",2,9,460.053
"LindaKnights#9411","Aero Trails — Solace 2",1,10,395.441
"Crystaline#3100","Aero Trails — Solace 2",2,9,514.104
"LindaKnights#9411","Aero Trails — Solace 1",1,10,376.026
"Japper#4409","Aero Trails — Solace 1",2,9,392.671
"Crystaline#3100","Aero Trails — Solace 1",3,8,462.634
"Ford96#9395","Aero Trails — Pavilion",1,10,168.923
"LindaKnights#9411","Aero Trails — Pavilion",2,9,180.136
"SnuSnu_Knights#3236","Aero Trails — Pavilion",3,8,188.923
"Faux_Hubris#3960","Aero Trails — Pavilion",4,7,193.779
"BeowulfCornelius#3212","Aero Trails — Pavilion",5,6,204.192
"Crystaline#3100","Aero Trails — Pavilion",6,5,234.736
"MSPDriver#3454","Aero Trails — Hub City",1,10,292.838
"LindaKnights#9411","Aero Trails — Hub City",2,9,295.611
"Crystaline#3100","Aero Trails — Hub City",3,8,360.463
"CornyB_Knights#3952","Calido Yellow — Astro IV",1,10,277.566
"Ford96#9395","Calido Yellow — Astro IV",2,9,278.441
"LindaKnights#9411","Calido Yellow — Astro IV",3,8,279.359
"Amortis#5052","Calido Yellow — Astro IV",4,7,295.926
"Ford96#9395","Calido Yellow — Bubblejett Bonanza 2023",1,10,231.896
"Amortis#5052","Calido Yellow — Bubblejett Bonanza 2023",2,9,236.834
"LindaKnights#9411","Calido Yellow — Bubblejett Bonanza 2023",3,8,241.647
"Faux_Hubris#3960","Calido Yellow — Bubblejett Bonanza 2023",4,7,250.881
"LindaKnights#9411","Calido Yellow — Bubblejett Bonanza OG Custom 2023",1,10,242.694
"SnuSnu_Knights#3236","Calido Yellow — Bubblejett Sprinter 2022",1,10,263.256
"LindaKnights#9411","Calido Yellow — Bubblejett Sprinter 2022",2,9,264.238
"KnightSworn#3377","Calido Yellow — Bubblejett Sprinter 2022",3,8,264.695
"Ford96#9395","Calido Yellow — Bubblejett Sprinter 2022",4,7,264.701
"Amortis#5052","Calido Yellow — Bubblejett Sprinter 2022",5,6,278.389
"SunnyvaleKid#0926","Calido Yellow — Bubblejett Sprinter 2022",6,5,311.269
"MSPDriver#3454","Calido Yellow — Bubblejett Sprinter OG Custom 2022",1,10,258.256
"Ford96#9395","Calido Yellow — Bubblejett Super Phantom",1,10,189.312
"LindaKnights#9411","Calido Yellow — Bubblejett Super Phantom",2,9,199.19
"Faux_Hubris#3960","Calido Yellow — Bubblejett Super Phantom",3,8,215.869
"JETtheTANK#8291","Calido Yellow — Bubblejett Super Phantom",4,7,277.425
"Amortis#5052","Calido Yellow — GTi Javelin 2022",1,10,216.548
"Ford96#9395","Calido Yellow — GTi Javelin 2022",2,9,226.355
"KnightSworn#3377","Calido Yellow — GTi Javelin 2022",3,8,301.016
"Lourde#2361","Calido Yellow — Kazekura Shinobi-X",1,10,183.504
"Amortis#5052","Calido Yellow — Kazekura Shinobi-X",2,9,186.197
"SnuSnu_Knights#3236","Calido Yellow — Rando's Metalworks Sunset Speeder",1,10,189.081
"LindaKnights#9411","Calido Yellow — Rando's Metalworks Sunset Speeder",2,9,192.741
"Ford96#9395","Calido Yellow — Rando's Metalworks Sunset Speeder",3,8,193.563
"MSPDriver#3454","Calido Yellow — Rando's Metalworks Sunset Speeder",4,7,194.295
"Amortis#5052","Calido Yellow — Rando's Metalworks Sunset Speeder",5,6,197.313
"Ford96#9395","Calido Yellow — Valkyrie F9-R",1,10,183.351
"LindaKnights#9411","Calido Yellow — Valkyrie F9-R",2,9,188.398
"Amortis#5052","Calido Yellow — Valkyrie F9-R",3,8,188.629
"SnuSnu_Knights#3236","Calido Yellow — Valkyrie F9-R",4,7,194.127
"Faux_Hubris#3960","Calido Yellow — Valkyrie F9-R",5,6,211.982
"Ford96#9395","Calido Yellow — Valley Raceworx T1-A",1,10,202.832
"MrPink","Calido Yellow — Valley Raceworx T1-A",2,9,205.289
"LindaKnights#9411","Calido Yellow — Valley Raceworx T1-A",3,8,206.744
"Amortis#5052","Calido Yellow — Valley Raceworx T1-A",4,7,210.463
"Faux_Hubris#3960","Calido Yellow — Valley Raceworx T1-A",5,6,223.787
"KnightSworn#3377","Calido Yellow — Valley Raceworx T1-A",6,5,230.676
"Ford96#9395","Calido Yellow — Valley Raceworx T1-B",1,10,239.095
"MrPink","Calido Yellow — Valley Raceworx T1-B",2,9,242.62
"LindaKnights#9411","Calido Yellow — Valley Raceworx T1-B",3,8,243.876
"Amortis#5052","Calido Yellow — Valley Raceworx T1-B",4,7,250.914
"LindaKnights#9411","Calido Yellow — Valley Raceworx T1-C",1,10,255.553
"Ford96#9395","Calido Yellow — Valley Raceworx T1-C",2,9,256.637
"MrPink","Calido Yellow — Valley Raceworx T1-C",3,8,258.32
"Amortis#5052","Calido Yellow — Valley Raceworx T1-C",4,7,269.797
"Ford96#9395","Calido Yellow — Valley Raceworx T3 2023",1,10,197.764
"LindaKnights#9411","Calido Yellow — Valley Raceworx T3 2023",2,9,200.614
"BeowulfCornelius#3212","Calido Red — Astro IV",1,10,454.792
"LindaKnights#9411","Calido Red — Astro IV",2,9,460.079
"Faux_Hubris#3960","Calido Red — Astro IV",3,8,467.242
"LindaKnights#9411","Calido Red — Bubblejett Bonanza 2023",1,10,410.861
"BeowulfCornelius#3212","Calido Red — Bubblejett Bonanza 2023",2,9,428.002
"Faux_Hubris#3960","Calido Red — Bubblejett Bonanza OG Custom 2023",1,10,400.729
"LindaKnights#9411","Calido Red — Bubblejett Bonanza OG Custom 2023",2,9,414.677
"BeowulfCornelius#3212","Calido Red — Bubblejett Bonanza OG Custom 2023",3,8,431.011
"Ford96#9395","Calido Red — Bubblejett Sprinter 2022",1,10,428.997
"BeowulfCornelius#3212","Calido Red — Bubblejett Sprinter 2022",2,9,452.9
"LindaKnights#9411","Calido Red — Bubblejett Sprinter 2022",3,8,459.256
"SnuSnu_Knights#3236","Calido Red — Bubblejett Sprinter 2022",4,7,478.23
"KnightSworn#3377","Calido Red — Bubblejett Sprinter 2022",5,6,564.742
"BeowulfCornelius#3212","Calido Red — Bubblejett Sprinter OG Custom 2022",1,10,456.553
"BeowulfCornelius#3212","Calido Red — Bubblejett Super Phantom",1,10,382.257
"LindaKnights#9411","Calido Red — Bubblejett Super Phantom",2,9,392.716
"JETtheTANK#8291","Calido Red — Bubblejett Super Phantom",3,8,560.017
"LindaKnights#9411","Calido Red — GTi Javelin 2022",1,10,394.793
"BeowulfCornelius#3212","Calido Red — GTi Javelin 2022",2,9,412.398
"Lourde#2361","Calido Red — Kazekura Shinobi-X",1,10,362.395
"Faux_Hubris#3960","Calido Red — Kazekura Shinobi-X",2,9,406.887
"Ford96#9395","Calido Red — Rando's Metalworks Sunset Speeder",1,10,346.153
"SnuSnu_Knights#3236","Calido Red — Rando's Metalworks Sunset Speeder",2,9,353.933
"BeowulfCornelius#3212","Calido Red — Rando's Metalworks Sunset Speeder",3,8,354.585
"LindaKnights#9411","Calido Red — Rando's Metalworks Sunset Speeder",4,7,381.547
"Ford96#9395","Calido Red — Valkyrie F9-R",1,10,326.063
"BeowulfCornelius#3212","Calido Red — Valkyrie F9-R",2,9,336.073
"LindaKnights#9411","Calido Red — Valkyrie F9-R",3,8,367.671
"MrPink","Calido Red — Valley Raceworx T1-A",1,10,350.83
"BeowulfCornelius#3212","Calido Red — Valley Raceworx T1-A",2,9,359.902
"LindaKnights#9411","Calido Red — Valley Raceworx T1-A",3,8,367.194
"MrPink","Calido Red — Valley Raceworx T1-B",1,10,400.952
"BeowulfCornelius#3212","Calido Red — Valley Raceworx T1-B",2,9,403.344
"LindaKnights#9411","Calido Red — Valley Raceworx T1-B",3,8,417.166
"MrPink","Calido Red — Valley Raceworx T1-C",1,10,426.082
"LindaKnights#9411","Calido Red — Valley Raceworx T1-C",2,9,439.367
"BeowulfCornelius#3212","Calido Red — Valley Raceworx T1-C",3,8,451.025
"LindaKnights#9411","Calido Red — Valley Raceworx T3 2023",1,10,366.12
