wheel_tier,wheel_odds_pct,group,name,source,solo_sale,bundle_sale,cardano_policy_id,evm_contract_id,total_supply,rarities,first_mint_block,mint_price,bundle_exclusive_to,bundle_also_sold_via,bundle_price,cardano_onchain_name
Mythic,2,static,GTI Rampage 2XS OG Custom,asset_category,1,0,def520c982e66ac33211da96fd984660295221a78aeb0f84a995b93f,,500,Mythic=1,,0,,,,GTI Rampage 2XS OG Custom
Common,10,variant,Bubblejett Sprinter OG Custom,asset_category,1,0,a4badea66770768b02ff7b9674d445f13016ce901804f45844e00ebd,,1400,Mythic=0.01; Legendary=0.09; Common=0.45; Uncommon=0.27; Rare=0.18,,0,,,,SPRINTER OG CUSTOM
Mythic,3,static,Nova Pop BubbleCore,store_only,1,0,0d42f13428b76404876e74e8f18652ce3b162b4a36975e7ae5ed284b,0x035915F4dF1390ef67a12cA1c5df2acb09A9201A,500,Mythic=100,48121184,20,,,,Nova Pop BubbleCore
Common,14.5,variant,RavenX SkyAngel,asset_category,1,0,ab8dbb1df3f02fa50d87004c37933f5b5a78fd8273f4a84b8be84a8d,0xdfd9AbA97E0B0553b46eaf9a6cFe93EBb5eA19C4,5000,Rare=0.18; Uncommon=0.27; Legendary=0.09; Common=0.45; Mythic=0.01,46695360,35,,,,RavenX SkyAngel
Rare,7,static,Kargo Outfitters Titan XL,asset_category,1,0,cab6dc36c151102888ec73c109cbb714610bd59457cdb11592444fdf,0x018808047b044bA7DF601730e623c583A2f31269,2600,Rare=1,21451948,30,,,,Kargo Outfitters Titan XL
Legendary,6.5,static,Corn Cuties Monkey Jet,store_only,1,0,2b964f15b4e941e88284b9529cbd4776c12088f1fc4f90cf4904ab41,0x7E8A0840962512E2B08F45EeFca2e404aCc95AcB,1000,Legendary=100,48120290,25,,,,Corn Cuties Monkey Jet
Common,12.5,variant,Luna Di Lusso Bloom Backpack,store_only,1,0,854dcb809c4f91b387420eea8a27d8c79ff43159d499f1d58bdbe837,0xCc0b03e44ed83F03dE387f90eAb6D7B7Eb7b1a2d,1000,Common=45; Uncommon=27; Rare=18; Legendary=9; Mythic=1,47852126,40,,,,Luna Di Lusso Bloom Backpack
Legendary,4.5,variant,Hub City Apartment,asset_category,1,1,4615f751e6d552c45c7763a4c82440781634312786b7f300359fde74,0xf544361FB63f380bFF97eEDD5D121393c7c3a570,20000,Legendary=0.16; Uncommon=0.49; Mythic=0.02; Rare=0.33,37497395,119,,,,Hub City Apartment
Common,11,variant,Rando's Metalworks Meat Grinder,asset_category,1,0,e496dc345dcdb3a6beddf6d5cb18ddc7f9fda1c361dc01b6ca267652,0x2199f2Ec06D20De4654B7ec5015F42Fd43eE3490,2000,Common=0.45; Rare=0.18; Uncommon=0.27; Mythic=0.01; Legendary=0.09,28507540,30,,,,Rando's Metalworks Meat Grinder
Rare,7,variant,Old World Provisions Trench 12,asset_category,1,0,e496dc345dcdb3a6beddf6d5cb18ddc7f9fda1c361dc01b6ca267652,0xaEACB7EE66bD7e2FcB432c552896d1993883fFD7,2000,Common=0.45; Mythic=0.01; Rare=0.18; Legendary=0.09; Uncommon=0.27,39082615,12,,,,Old World Provisions Trench 12
Uncommon,14,variant,Komaru Defense Outlaw,asset_category,1,0,acdd392665650ecec93e3b19fa91550ce42ceb812becebd3888046da,0xa1db22f0b5de0d4a13C19b1f1E3F43f05A88C92A,2000,Rare=0.18; Uncommon=0.27; Mythic=0.01; Common=0.45; Legendary=0.09,40815488,20,,,,Komaru Defense Outlaw
Rare,8,static,Summer Art Building Kit,store_only,1,0,9fbcf378037395765c9cc1371a182a28fa705f4978d8352f05c5a2bf,0x8240F7Cd5ff4f42Be8859e8cbC7721A87630f5DD,25000,Rare=100,47852592,12,,,,Summer Art Building Kit RA #CA
